external_id,name,instruction,cook_time_min,base_portions,meal_type
kefir_apple,Кефир с яблоком,"1. Налить кефир. 2. Нарезать яблоко.",2,1,snack
yogurt_nuts,Греческий йогурт с орехами,"1. Размешать йогурт. 2. Посыпать орехами.",2,1,snack
cucumber_cottage,Огурцы с творогом,"1. Размять творог со сметаной. 2. Подавать с нарезанными огурцами.",5,1,snack
keto_avocado_eggs,Авокадо с яйцом и беконом,"1. Поджарить бекон. 2. Яйца обжарить на оливковом масле. 3. Подавать с нарезанным авокадо.",10,1,breakfast
keto_cheese_omelet,Сырный омлет на сливках,"1. Взбить яйца со сливками. 2. Обжарить на сливочном масле. 3. Посыпать тёртым чеддером.",10,1,breakfast
keto_cottage_coconut,Творожная чашка с кокосом,"1. Размять творог со сметаной. 2. Добавить кокосовую стружку и рубленые грецкие орехи.",5,1,breakfast
keto_salmon_cream,Лосось со сливками и шпинатом,"1. Обжарить лосось на оливковом масле. 2. Залить сливками. 3. Добавить шпинат и сметану, потушить 5 минут.",25,1,lunch
keto_seabass_sour,Сёмга со сметаной и огурцом,"1. Запечь сёмгу с оливковым маслом. 2. Подать со сметаной и нарезанными огурцами.",20,1,lunch
keto_pork_cream,Свинина в сметанном соусе с брокколи,"1. Обжарить свинину. 2. Залить сметаной, потушить. 3. Приготовить брокколи на пару.",35,1,lunch
keto_steak_butter,Стейк со сливочным маслом и брокколи,"1. Обжарить говядину на сильном огне. 2. Полить растопленным сливочным маслом. 3. Подать с брокколи и ложкой сметаны.",20,1,dinner
keto_duck_cream,Утка со сметаной и шпинатом,"1. Запечь утку. 2. Полить сметаной, добавить шпинат. 3. Прогреть.",60,1,dinner
keto_chicken_cream,Куриные бёдра в сливочном соусе,"1. Обжарить бёдра в масле. 2. Залить сливками, потушить с брокколи 15 минут.",30,1,dinner
keto_mackerel_lemon,Скумбрия со сливочным маслом и лимоном,"1. Запечь скумбрию с оливковым маслом и лимоном. 2. Сверху положить кусочек сливочного масла. 3. Подать со шпинатом.",25,1,dinner
keto_cheese_plate,Сырная тарелка с орехами,"1. Нарезать бри и чеддер. 2. Подать с грецкими орехами.",2,1,snack
keto_avocado_cottage,Авокадо с творогом,"1. Размять авокадо. 2. Перемешать с творогом и сметаной. 3. Посыпать орехами.",5,1,snack
keto_almond_mix,Миндально-кокосовый микс с сыром,"1. Смешать миндаль, грецкие орехи, кокосовую стружку. 2. Подавать с кубиками чеддера.",1,1,snack
vgn_oat_porridge,Овсянка на воде с льняным семенем,"1. Сварить овсянку на воде. 2. Добавить льняное семя, нарезанный банан и грецкие орехи. 3. Полить ложкой подсолнечного масла.",15,1,breakfast
vgn_buckwheat_apple_seeds,Гречка с яблоком и семечками,"1. Сварить гречку. 2. Добавить нарезанное яблоко и семечки подсолнечника.",20,1,breakfast
vgn_smoothie_almond,Смузи с бананом и миндалём,"1. Измельчить банан и яблоко в блендере. 2. Добавить миндаль и льняное семя. 3. Разбавить водой.",5,1,breakfast
vgn_rice_raisins,Рисовая каша с изюмом и орехами,"1. Сварить рис на воде. 2. Добавить изюм и грецкие орехи. 3. Полить ложкой масла.",25,1,breakfast
vgn_lentil_soup,Чечевичный суп с морковью,"1. Замочить чечевицу. 2. Сварить с морковью, луком и помидорами. 3. Заправить оливковым маслом.",60,1,lunch
vgn_chickpea_salad,Салат с нутом и овощами,"1. Отварить нут. 2. Смешать с помидорами, огурцами, луком. 3. Полить оливковым маслом и лимонным соком.",40,1,lunch
vgn_bean_tomato,Фасоль в томатном соусе,"1. Отварить фасоль. 2. Потушить с помидорами, луком и сладким перцем. 3. Заправить оливковым маслом.",75,1,lunch
vgn_buckwheat_mushroom,Гречка с грибами и луком,"1. Сварить гречку. 2. Обжарить шампиньоны с луком на масле. 3. Перемешать.",25,1,lunch
vgn_pea_soup,Гороховый суп с картофелем,"1. Замочить горох. 2. Сварить с картофелем, морковью и луком. 3. Заправить ложкой масла.",90,1,dinner
vgn_mushroom_pilaf,Грибной плов,"1. Сварить рис. 2. Обжарить шампиньоны с морковью и луком. 3. Соединить, тушить 10 минут.",40,1,dinner
vgn_tofu_stir,Тофу с овощами в азиатском стиле,"1. Обжарить кубики тофу. 2. Добавить капусту, перец, лук. 3. Заправить маслом.",20,1,dinner
vgn_potato_beans,Картофель с фасолью и зеленью,"1. Отварить картофель. 2. Смешать с готовой фасолью. 3. Заправить оливковым маслом.",45,1,dinner
vgn_apple_almonds,Яблоко с миндалём,"1. Нарезать яблоко. 2. Подавать с миндалём.",2,1,snack
vgn_dried_fruit_nuts,Сухофрукты с орехами,"1. Смешать изюм, курагу. 2. Добавить грецкие орехи и миндаль.",1,1,snack
vgn_seeds_mix,Микс семян и орехов,"1. Смешать семечки подсолнечника, льняное семя, миндаль и грецкие орехи.",1,1,snack
paleo_eggs_veggies,Яичница с овощами и беконом,"1. Поджарить бекон. 2. Добавить яйца, нарезанные помидоры и шпинат. 3. Готовить 5 минут.",10,1,breakfast
paleo_fruit_coconut_bowl,Фруктовая чаша с кокосом и орехами,"1. Нарезать яблоко и банан. 2. Посыпать кокосовой стружкой и миндалём.",5,1,breakfast
paleo_walnut_apple_snack,Яблоко с грецкими орехами,"1. Нарезать яблоко. 2. Подавать с грецкими орехами.",2,1,snack
paleo_almond_coconut,Кокосово-миндальный микс,"1. Смешать кокосовую стружку и миндаль. 2. Подавать как перекус.",1,1,snack
veg_mushroom_creamy_pasta,Паста с грибами в сливочном соусе,"1. Сварить макароны. 2. Обжарить шампиньоны со сливочным маслом. 3. Залить сливками, прогреть, смешать с макаронами.",25,1,lunch
veg_shakshuka,Шакшука с яйцами и помидорами,"1. Потушить помидоры с луком и перцем. 2. Вбить яйца, накрыть крышкой. 3. Готовить 8 минут.",20,1,lunch
veg_potato_cheese,Картофель запечённый с сыром,"1. Нарезать картофель. 2. Залить сливками, посыпать тёртым сыром. 3. Запекать 40 минут.",55,1,dinner
veg_buckwheat_egg_mushroom,Гречка с яйцом и грибами,"1. Сварить гречку. 2. Обжарить грибы с луком. 3. Сверху положить варёное яйцо.",25,1,dinner
veg_lentil_veggie_stew,Чечевица с овощами в густом соусе,"1. Отварить чечевицу. 2. Потушить с помидорами, морковью и луком на масле. 3. Подавать со сметаной.",55,1,dinner
fasting_pumpkin_millet,Пшённая каша с тыквой и изюмом,"1. Отварить пшено на воде до полуготовности. 2. Добавить нарезанную тыкву, тушить 15 минут. 3. Добавить изюм, прогреть.",30,1,breakfast
fasting_buckwheat_pumpkin,Гречка с тыквой и курагой,"1. Сварить гречку на воде. 2. Запечь тыкву кубиками. 3. Соединить с распаренной курагой, полить ложкой подсолнечного масла.",35,1,breakfast
fasting_potato_carrot_stew,Тушёный картофель с морковью и томатами,"1. Нарезать картофель кубиками. 2. Потушить с морковью, луком и помидорами в небольшом количестве воды. 3. Заправить ложкой подсолнечного масла.",40,1,lunch
fasting_pearl_barley_veggie,Перловка с тушёной капустой и морковью,"1. Замочить и отварить перловку. 2. Потушить капусту с морковью и луком на воде. 3. Соединить, заправить ложкой подсолнечного масла.",70,1,lunch
fasting_veggie_borsch,Постный борщ со свёклой и капустой,"1. Сварить нарезанный картофель. 2. Добавить капусту, свёклу, морковь, лук и помидоры. 3. Варить 20 минут, заправить ложкой подсолнечного масла.",45,1,dinner
fasting_rice_pumpkin_raisins,Рис с тыквой и изюмом,"1. Сварить рис на воде. 2. Запечь тыкву кубиками до мягкости. 3. Соединить с распаренным изюмом, добавить каплю подсолнечного масла.",30,1,dinner
fasting_apple_raisins,Яблоко с изюмом,"1. Нарезать яблоко дольками. 2. Распарить изюм горячей водой 2 минуты. 3. Подавать вместе.",5,1,snack
keto_chicken_thigh_cream,Куриное бедро со сливками и шампиньонами,"1. Обжарить куриное бедро на сливочном масле. 2. Добавить шампиньоны, потушить. 3. Залить сливками, прогреть со шпинатом 5 минут.",35,1,lunch
keto_beef_avocado_cheese,Говядина с авокадо и чеддером,"1. Обжарить говядину на оливковом масле до средней прожарки. 2. Нарезать авокадо. 3. Посыпать тёртым чеддером, подавать со шпинатом.",25,1,lunch
keto_turkey_cream_brokkoli,Индейка в сливках с брокколи,"1. Обжарить индейку на сливочном масле. 2. Залить сливками, потушить. 3. Приготовить брокколи на пару, добавить.",30,1,lunch
